imdbId,Genre,umap_x,umap_y,cluster_dbscan
117061,Action|Drama|Thriller,0.9350615,4.140164,3
1355683,Biography|Crime|Drama,1.2715678,2.6301234,3
367479,Action|Comedy|Crime,7.1673717,3.1817243,2
253840,Comedy|Romance,2.6443076,4.535053,8
2973516,Crime|Horror|Thriller,5.891489,4.2903285,2
60214,Comedy|Horror,1.374544,4.8184223,3
207145,Comedy,2.159161,2.5655322,3
2085741,Documentary|Biography|Comedy,4.3565135,4.888171,2
800332,Animation|Short|Family,1.4748802,4.6608186,3
2182256,Comedy|Fantasy,4.322286,2.7025523,4
58694,Horror,1.7223431,3.1705043,3
73131,Drama|Thriller,1.3514382,2.7226086,3
97636,Comedy|Crime,5.6508603,4.062783,2
99141,Action|Comedy,6.2732677,5.594395,2
355683,Crime|Drama,6.260281,3.2530668,2
2872810,Drama|Horror|Thriller,5.5988393,4.648002,2
2244901,Comedy|Romance,2.768089,1.3542513,4
2960450,Documentary|Biography|Crime,2.0402231,2.6347618,3
1233301,Action|Adventure|History,4.7659655,5.0675464,-1
1097256,Documentary,3.5340133,6.213022,5
1935828,Comedy,3.4470582,6.322164,5
69113,Action|Adventure|Drama,5.5112696,4.9945464,2
112545,Animation|Family,1.6711607,1.9806281,3
28695,Crime|Drama|Mystery,1.4575844,3.8057673,3
